Type,Category,Services,Duration (mins),Pricing,,For Janice only,%,
Everyday Facial,Bespoke,Bespoke 60mins / Express ,60,$128,,,,
,,Bespoke 90mins ,90,$158,,,,
,,Bespoke 120mins,120,$198,,,,
,Bespoke PLUS+,"ESSE Organic ""Live Probiotics"" Treatment",90,$168,,,,
,,No-downtime Peel Treatment,90,$168,,,,
,,Carboxy CO2 Skin Renewal Treatment,90,$178,,,,
,,Meridian Bojin and Gua Sha Therapy,90,$178,,,,
,,E-light Photo Rejuvenation,100,$188,,,,
,,Anti-inflammatory CCCA Acne/Rosacea Treatment,120,$178,,,,
,,"3D Anti-aging, Lift & Sculpt PLUS+",120,$198,,,,
,,Ilumin Peel Therapy (3 peels),100,$288,,,,
,Bespoke PLUS+,Myofascial Sculpted Flow,60,$168,,,,
,,"ESSE Organic ""Live Probiotics""",90,$178,,,,Julian to remove those in green tabs
,,No-downtime Peel,90,$168,,,,and change to those in blue tabs
,,Detox Reset,100,$178,,,,
,,Meridian Bojin and Gua Sha Sculpt,120,$198,,,,
,,Hydration Rescue PLUS+,120,$198,,,,
,,3D Lift & Sculpt PLUS+,120,$198,,,,
,,Brightening PLUS+,120,$198,,,,
,,Acne Calm PLUS+,120,$198,,,,
,The Gentlemen,The Gentlemen 90mins ,90,$168,,,,
,,The Gentlemen PLUS+,120,$198,,,,
,Intensive,Liquid Micro-needling + Exosome (Green Sea Pee/with downtime),120,$238,,,,
,,Micro-needling + Exosome (with downtime),120,$238,,,,
,,Cold Plasma Therapy ,120,$238,Pls indicate coming soon ,,,
,,Corrective Peel Therapy (3 peels),100,$288,,,,
Everyday Eyes,Eyes,Signature Eye Treatment,30,$68,$48 (add-on to facials),,,
,,Signature Eye Treatment PLUS+,45,$98  (ala carte),$78 (add-on to facials),,,
Everyday Milla Removal ,Face,Milla/Oil Seed and Skin Tag Removal (Light),45,$88,,,,
,,Milla/Oil Seed and Skin Tag Removal (Medium),60,$158,,,,
,,Milla/Oil Seed and Skin Tag Removal (Heavy),90,$198,,,,
,,Milla/Oil Seed and Skin Tag Removal (Extra Heavy),120,$298,,,,
Everyday Head Therapy,Meridian Dry Head Therapy (Deep Sleep Focus),Meridian Dry Head Therapy (Deep Sleep Focus) 60mins,60,$98,,,,
,,Meridian Dry Head Therapy (Deep Sleep Focus) 90mins,90,$168,,,,
Everyday Hair Removal,Body,Please refer to website for pricing: https://www.theeverydayskin.com.sg/pages/everyday-laser-hair-removal,,,,,,
Everyday Back,Body,Bespoke Body 60mins (Back/Belly/Booty),60,$128,,,,
,,Co2 Carboxy Renewal Body (Back/Belly/Booty),90,$158,,,,
,,E-light Photo Rejuvenation (Back),90,$158,,,,
,,2in1: Co2 Carboxy Renewal PLUS+ (Back),120,$198,,,,
Everyday Back,Body,Bespoke Body 60mins (Back/Belly/Booty),60,$128,,,,
,,Bespoke Body PLUS+,90,$188,,,,
Everyday Lash & Brow Lamination,Lash & Brows,"Elleebana Lash Lift, Tint & Nourish",90,$88,,,,
,,"Elleebana Brow Lamination, Tint & Nourish",60,$78,,,,
,,2in1 Combo: Elleebana Lash & Brow Lamination,90,$138,,,,
Everyday Massages,Body,Signature Thai Body Massage (Aromatherapy Oil or Thai Herbal Balm),30,$48,,$19,39.58%,
,,,60,$68,,$27,39.71%,
,,,90,$98,,$40,40.82%,
,,,120,$128,,$55,42.97%,
,,Signature 4-in-1 Thai Body Massage (Aromatherapy Oil or Thai Herbal Balm),30,$48,,$19,39.58%,
,,,60,$68,,$27,39.71%,
,,,90,$98,,$40,40.82%,
,,,120,$128,,$55,42.97%,
,,Thai Body Massage (Oil-free/Un-scented oil),30,$40,,$19,47.50%,
,,,60,$60,,$27,45.00%,
,,,90,$90,,$40,44.44%,
,,,120,$120,,$55,45.83%,
,,4-in-1 Thai Body Massage (Oil-free/Un-scented oil),30,$40,,$19,47.50%,
,,,60,$60,,$27,45.00%,
,,,90,$90,,$40,44.44%,
,,,120,$120,,$55,45.83%,
,,Deep Tissue Thai Body Massage (Thai Herbal Balm),30,$68,,$25,36.76%,
,,,60,$88,,$32,36.36%,
,,,90,$148,,$54,36.49%,
,,Sports Therapy Body Massage (Thai Herbal Balm and Red Light Therapy),30,$78,,$27,34.62%,
,,,60,$98,,$35,35.71%,
,,,90,$158,,$58,36.71%,
,,Womb Care Massage Therapy (Ginger Mask and Moxibustion Therapy),60,$98,,$35,35.71%,Pls indicate coming soon 
,,Add-on: Heated Warm Oil,0,$18,,$3,16.67%,
,,Add-on: Thai Compress Herbal Ball ,10,$24,,,,
,,Add-on: Hot Stone,10,$24,,$5,20.83%,
,,Add-on: Dry Body Brushing,10,$24,,$5,20.83%,
Everyday Promo,,TBA,,,,,,
